"image","detected","description"
"0084_000_000.jpg","No","NA"
"0084_000_001.jpg","No","NA"
"0084_000_002.jpg","No","NA"
"0084_000_003.jpg","No","NA"
"0084_001_000.jpg","No","NA"
"0084_001_001.jpg","No","NA"
"0084_001_002.jpg","No","NA"
"0084_001_003.jpg","No","NA"
"0084_002_000.jpg","No","NA"
"0084_002_001.jpg","No","NA"
"0084_002_002.jpg","No","NA"
"0084_002_003.jpg","No","NA"
"0084_003_000.jpg","No","NA"
"0084_003_001.jpg","No","NA"
"0084_003_002.jpg","No","NA"
"0084_003_003.jpg","No","NA"
"0084_004_000.jpg","No","NA"
"0084_004_001.jpg","No","NA"
"0084_004_002.jpg","No","NA"
"0084_004_003.jpg","No","NA"
"0084_005_000.jpg","No","NA"
"0084_005_001.jpg","No","NA"
"0084_005_002.jpg","No","NA"
"0084_005_003.jpg","No","NA"
"0084_006_000.jpg","No","NA"
"0084_006_001.jpg","No","NA"
"0084_006_002.jpg","No","NA"
"0084_006_003.jpg","No","NA"
"0084_007_000.jpg","No","NA"
"0084_007_001.jpg","No","NA"
"0084_007_002.jpg","No","NA"
"0084_007_003.jpg","No","NA"
"0085_000_000.jpg","No","NA"
"0085_000_001.jpg","No","NA"
"0085_000_002.jpg","No","NA"
"0085_000_003.jpg","No","NA"
"0085_001_000.jpg","No","NA"
"0085_001_001.jpg","No","NA"
"0085_001_002.jpg","No","NA"
"0085_001_003.jpg","No","NA"
"0085_002_000.jpg","No","NA"
"0085_002_001.jpg","No","NA"
"0085_002_002.jpg","No","NA"
"0085_002_003.jpg","No","NA"
"0085_003_000.jpg","No","NA"
"0085_003_001.jpg","No","NA"
"0085_003_002.jpg","No","NA"
"0085_003_003.jpg","No","NA"
"0085_004_000.jpg","No","NA"
"0085_004_001.jpg","No","NA"
"0085_004_002.jpg","No","NA"
"0085_004_003.jpg","No","NA"
"0085_005_000.jpg","Yes","center of the image, a small object with a white and black body, possibly a rocket, partially obscured by the surrounding vegetation"
"0085_005_001.jpg","No","NA"
"0085_005_002.jpg","No","NA"
"0085_005_003.jpg","No","NA"
"0085_006_000.jpg","No","NA"
"0085_006_001.jpg","No","NA"
"0085_006_002.jpg","No","NA"
"0085_006_003.jpg","No","NA"
"0085_007_000.jpg","No","NA"
"0085_007_001.jpg","No","NA"
"0085_007_002.jpg","No","NA"
"0085_007_003.jpg","No","NA"
"0086_000_000.jpg","No","NA"
"0086_000_001.jpg","No","NA"
"0086_000_002.jpg","No","NA"
"0086_000_003.jpg","No","NA"
"0086_001_000.jpg","No","NA"
"0086_001_001.jpg","No","NA"
"0086_001_002.jpg","No","NA"
"0086_001_003.jpg","No","NA"
"0086_002_000.jpg","No","NA"
"0086_002_001.jpg","No","NA"
"0086_002_002.jpg","No","NA"
"0086_002_003.jpg","No","NA"
"0086_003_000.jpg","No","NA"
"0086_003_001.jpg","No","NA"
"0086_003_002.jpg","No","NA"
"0086_003_003.jpg","No","NA"
"0086_004_000.jpg","No","NA"
"0086_004_001.jpg","No","NA"
"0086_004_002.jpg","No","NA"
"0086_004_003.jpg","No","NA"
"0086_005_000.jpg","No","NA"
"0086_005_001.jpg","No","NA"
"0086_005_002.jpg","No","NA"
"0086_005_003.jpg","No","NA"
"0086_006_000.jpg","No","NA"
"0086_006_001.jpg","No","NA"
"0086_006_002.jpg","No","NA"
"0086_006_003.jpg","No","NA"
"0086_007_000.jpg","No","NA"
"0086_007_001.jpg","No","NA"
"0086_007_002.jpg","No","NA"
"0086_007_003.jpg","No","NA"
"0087_000_000.jpg","No","NA"
"0087_000_001.jpg","No","NA"
"0087_000_002.jpg","No","NA"
"0087_000_003.jpg","No","NA"
"0087_001_000.jpg","No","NA"
"0087_001_001.jpg","No","NA"
"0087_001_002.jpg","No","NA"
"0087_001_003.jpg","No","NA"
"0087_002_000.jpg","No","NA"
"0087_002_001.jpg","No","NA"
"0087_002_002.jpg","No","NA"
"0087_002_003.jpg","No","NA"
"0087_003_000.jpg","No","NA"
"0087_003_001.jpg","No","NA"
"0087_003_002.jpg","No","NA"
"0087_003_003.jpg","No","NA"
"0087_004_000.jpg","No","NA"
"0087_004_001.jpg","No","NA"
"0087_004_002.jpg","No","NA"
"0087_004_003.jpg","No","NA"
"0087_005_000.jpg","No","NA"
"0087_005_001.jpg","No","NA"
"0087_005_002.jpg","No","NA"
"0087_005_003.jpg","No","NA"
"0087_006_000.jpg","No","NA"
"0087_006_001.jpg","No","NA"
"0087_006_002.jpg","No","NA"
"0087_006_003.jpg","No","NA"
"0087_007_000.jpg","No","NA"
"0087_007_001.jpg","No","NA"
"0087_007_002.jpg","No","NA"
"0087_007_003.jpg","No","NA"
"0088_000_000.jpg","No","NA"
"0088_000_001.jpg","No","NA"
"0088_000_002.jpg","No","NA"
"0088_000_003.jpg","No","NA"
"0088_001_000.jpg","No","NA"
"0088_001_001.jpg","No","NA"
"0088_001_002.jpg","No","NA"
"0088_001_003.jpg","No","NA"
"0088_002_000.jpg","No","NA"
"0088_002_001.jpg","No","NA"
"0088_002_002.jpg","No","NA"
"0088_002_003.jpg","No","NA"
"0088_003_000.jpg","No","NA"
"0088_003_001.jpg","No","NA"
"0088_003_002.jpg","No","NA"
"0088_003_003.jpg","No","NA"
"0088_004_000.jpg","No","NA"
"0088_004_001.jpg","No","NA"
"0088_004_002.jpg","No","NA"
"0088_004_003.jpg","No","NA"
"0088_005_000.jpg","No","NA"
"0088_005_001.jpg","No","NA"
"0088_005_002.jpg","No","NA"
"0088_005_003.jpg","No","NA"
"0088_006_000.jpg","No","NA"
"0088_006_001.jpg","No","NA"
"0088_006_002.jpg","No","NA"
"0088_006_003.jpg","No","NA"
"0088_007_000.jpg","No","NA"
"0088_007_001.jpg","No","NA"
"0088_007_002.jpg","No","NA"
"0088_007_003.jpg","No","NA"
"0089_000_000.jpg","No","NA"
"0089_000_001.jpg","No","NA"
"0089_000_002.jpg","No","NA"
"0089_000_003.jpg","No","NA"
"0089_001_000.jpg","No","NA"
"0089_001_001.jpg","No","NA"
"0089_001_002.jpg","No","NA"
"0089_001_003.jpg","No","NA"
"0089_002_000.jpg","Yes","bottom-right corner, a small object with a blue and white color scheme partially obscured by grass"
"0089_002_001.jpg","Yes","bottom-right corner, a white rocket with a visible body tube lying in the grass"
"0089_002_002.jpg","Yes","top-right corner, a white rocket with a visible parachute lying on the grass"
"0089_002_003.jpg","No","NA"
"0089_003_000.jpg","No","NA"
"0089_003_001.jpg","No","NA"
"0089_003_002.jpg","No","NA"
"0089_003_003.jpg","No","NA"
"0089_004_000.jpg","No","NA"
"0089_004_001.jpg","No","NA"
"0089_004_002.jpg","No","NA"
"0089_004_003.jpg","No","NA"
"0089_005_000.jpg","No","NA"
"0089_005_001.jpg","No","NA"
"0089_005_002.jpg","No","NA"
"0089_005_003.jpg","No","NA"
"0089_006_000.jpg","No","NA"
"0089_006_001.jpg","No","NA"
"0089_006_002.jpg","No","NA"
"0089_006_003.jpg","No","NA"
"0089_007_000.jpg","No","NA"
"0089_007_001.jpg","No","NA"
"0089_007_002.jpg","No","NA"
"0089_007_003.jpg","No","NA"
"0090_000_000.jpg","No","NA"
"0090_000_001.jpg","No","NA"
"0090_000_002.jpg","No","NA"
"0090_000_003.jpg","No","NA"
"0090_001_000.jpg","No","NA"
"0090_001_001.jpg","No","NA"
"0090_001_002.jpg","No","NA"
"0090_001_003.jpg","No","NA"
"0090_002_000.jpg","No","NA"
"0090_002_001.jpg","No","NA"
"0090_002_002.jpg","No","NA"
"0090_002_003.jpg","No","NA"
"0090_003_000.jpg","No","NA"
"0090_003_001.jpg","No","NA"
"0090_003_002.jpg","No","NA"
"0090_003_003.jpg","No","NA"
"0090_004_000.jpg","No","NA"
"0090_004_001.jpg","No","NA"
"0090_004_002.jpg","No","NA"
"0090_004_003.jpg","No","NA"
"0090_005_000.jpg","No","NA"
"0090_005_001.jpg","No","NA"
"0090_005_002.jpg","No","NA"
"0090_005_003.jpg","No","NA"
"0090_006_000.jpg","No","NA"
"0090_006_001.jpg","No","NA"
"0090_006_002.jpg","No","NA"
"0090_006_003.jpg","No","NA"
"0090_007_000.jpg","No","NA"
"0090_007_001.jpg","No","NA"
"0090_007_002.jpg","No","NA"
"0090_007_003.jpg","No","NA"
"0091_000_000.jpg","No","NA"
"0091_000_001.jpg","No","NA"
"0091_000_002.jpg","No","NA"
"0091_000_003.jpg","No","NA"
"0091_001_000.jpg","No","NA"
"0091_001_001.jpg","No","NA"
"0091_001_002.jpg","No","NA"
"0091_001_003.jpg","No","NA"
"0091_002_000.jpg","No","NA"
"0091_002_001.jpg","No","NA"
